candidate_id,lon,lat,agl_m,altitude_msl_m,gateway_link_margin_db,gateway_los_blocked,energy_margin_at_60s_kwh,max_service_s,demand_samples,covered_samples,coverage_ratio,backhaul_available,backhaul_margin_db
P0070,109.24207158397158,22.991644124005646,60.0,331.5929870605469,9.133746942463176,True,2.4009916005345477,7917.79069265852,81,0,0.0,True,9.133746942463176
P0071,109.24207158397158,22.991644124005646,150.0,421.5929870605469,9.133746942463176,True,2.4089881283123256,7943.961147203975,81,0,0.0,True,9.133746942463176
P0072,109.24207158397158,22.991644124005646,300.0,571.5929870605469,9.133746942463176,True,2.4089150697577586,7943.7220464799375,81,3,0.037037037037037035,True,9.133746942463176
P0073,109.24207158397158,23.0052097,60.0,321.16827392578125,14.317663657054567,True,2.473103392017495,8153.792919329984,81,14,0.1728395061728395,True,14.317663657054567
P0074,109.24207158397158,23.0052097,150.0,411.16827392578125,24.317663657054567,False,2.465106864239717,8127.622464784529,81,16,0.19753086419753085,True,24.317663657054567
P0075,109.24207158397158,23.0052097,300.0,561.1682739257812,24.317663657054567,False,2.451779317943421,8084.005040542105,81,22,0.2716049382716049,True,24.317663657054567
P0076,109.24207158397158,23.018775275994358,60.0,222.1238555908203,21.77924167150063,False,2.46217112072971,8118.014576933594,81,11,0.13580246913580246,True,21.77924167150063
P0077,109.24207158397158,23.018775275994358,150.0,312.1238555908203,21.77924167150063,False,2.4564690936042926,8099.35339725041,81,23,0.2839506172839506,True,21.77924167150063
P0078,109.24207158397158,23.018775275994358,300.0,462.1238555908203,21.77924167150063,False,2.443141547307996,8055.735973007986,81,32,0.3950617283950617,True,21.77924167150063
P0079,109.24207158397158,23.032340851988714,60.0,221.34532165527344,6.773174237092306,True,2.4017056193521285,7920.127481516056,81,26,0.32098765432098764,True,6.773174237092306
P0080,109.24207158397158,23.032340851988714,150.0,311.34532165527344,6.773174237092306,True,2.402898219452846,7924.030536391131,81,33,0.4074074074074074,True,6.773174237092306
P0081,109.24207158397158,23.032340851988714,300.0,461.34532165527344,16.773174237092306,False,2.3895706731565496,7880.413112148707,81,38,0.4691358024691358,True,16.773174237092306
P0082,109.24207158397158,23.04590642798307,60.0,290.3181915283203,3.2927424445828706,True,2.34307924593342,7728.2593503275575,81,24,0.2962962962962963,True,3.2927424445828706
P0083,109.24207158397158,23.04590642798307,150.0,380.3181915283203,13.29274244458287,False,2.33641745488902,7706.45712509134,81,33,0.4074074074074074,True,13.29274244458287
P0084,109.24207158397158,23.04590642798307,300.0,530.3181915283203,13.29274244458287,False,2.323089908592724,7662.839700848915,81,36,0.4444444444444444,True,13.29274244458287
P0085,109.24207158397158,23.059472003977426,60.0,401.1717529296875,0.7506677124368935,True,2.2724118458428846,7496.9842227585295,81,29,0.35802469135802467,True,0.7506677124368935
P0086,109.24207158397158,23.059472003977426,150.0,491.1717529296875,10.750667712436893,False,2.2644153180651068,7470.813768213075,81,31,0.38271604938271603,True,10.750667712436893
P0087,109.24207158397158,23.059472003977426,300.0,641.1717529296875,10.750667712436893,False,2.2510877717688107,7427.196343970652,81,31,0.38271604938271603,True,10.750667712436893
P0088,109.24207158397158,23.073037579971782,300.0,509.8966369628906,8.76648508160443,False,2.199887139578598,7259.630638620864,81,28,0.345679012345679,True,8.76648508160443
P0089,109.24207158397158,23.086603155966138,300.0,560.6043090820312,7.144139608150397,False,2.1321671520261627,7038.001588449259,81,28,0.345679012345679,True,7.144139608150397
P0090,109.2567143407659,22.991644124005646,60.0,528.3388061523438,5.73343150622506,True,2.3633394374505876,7794.565431656468,81,1,0.012345679012345678,True,5.73343150622506
P0091,109.2567143407659,22.991644124005646,150.0,618.3388061523438,5.73343150622506,True,2.3600503220181306,7783.801053877518,81,1,0.012345679012345678,True,5.73343150622506
P0092,109.2567143407659,22.991644124005646,300.0,768.3388061523438,5.73343150622506,True,2.3467227757218345,7740.183629635094,81,1,0.012345679012345678,True,5.73343150622506
P0093,109.2567143407659,23.0052097,60.0,360.3506774902344,7.39921297787707,True,2.395227122992373,7898.925129793221,81,5,0.06172839506172839,True,7.39921297787707
P0094,109.2567143407659,23.0052097,150.0,450.3506774902344,7.39921297787707,True,2.3990627350680844,7911.478042041003,81,11,0.13580246913580246,True,7.39921297787707
P0095,109.2567143407659,23.0052097,300.0,600.3506774902344,17.39921297787707,False,2.3857351887717884,7867.860617798579,81,11,0.13580246913580246,True,17.39921297787707
P0096,109.2567143407659,23.018775275994358,60.0,347.6727294921875,6.749532312545568,True,2.393870449336731,7894.4851069202105,81,13,0.16049382716049382,True,6.749532312545568
P0097,109.2567143407659,23.018775275994358,150.0,437.6727294921875,6.749532312545568,True,2.3913402383166265,7886.204416308959,81,17,0.20987654320987653,True,6.749532312545568
P0098,109.2567143407659,23.018775275994358,300.0,587.6727294921875,16.74953231254557,False,2.3780126920203304,7842.586992066535,81,17,0.20987654320987653,True,16.74953231254557
P0099,109.2567143407659,23.032340851988714,60.0,300.0755920410156,4.495327638584399,True,2.3498162728516454,7750.3078020599305,81,16,0.19753086419753085,True,4.495327638584399
P0100,109.2567143407659,23.032340851988714,150.0,390.0755920410156,4.495327638584399,True,2.3578128006294232,7776.478256605385,81,21,0.25925925925925924,True,4.495327638584399
P0101,109.2567143407659,23.032340851988714,300.0,540.0755920410156,14.4953276385844,False,2.3458587139442426,7737.355791090248,81,21,0.25925925925925924,True,14.4953276385844
P0102,109.2567143407659,23.04590642798307,60.0,307.5500946044922,2.122038155257357,True,2.3087417488683517,7615.882087205515,81,18,0.2222222222222222,True,2.122038155257357
P0103,109.2567143407659,23.04590642798307,150.0,397.5500946044922,2.122038155257357,True,2.308510032534562,7615.123742840384,81,23,0.2839506172839506,True,2.122038155257357
P0104,109.2567143407659,23.04590642798307,300.0,547.5500946044922,12.122038155257357,False,2.295182486238266,7571.50631859796,81,23,0.2839506172839506,True,12.122038155257357
P0105,109.2567143407659,23.059472003977426,60.0,285.7740783691406,0.06031566848284342,True,2.2591075399160827,7453.44285790718,81,20,0.24691358024691357,True,0.06031566848284342
P0106,109.2567143407659,23.059472003977426,150.0,375.7740783691406,0.06031566848284342,True,2.2544047316913693,7438.051849171754,81,23,0.2839506172839506,True,0.06031566848284342
P0107,109.2567143407659,23.059472003977426,300.0,525.7740783691406,0.06031566848284342,True,2.2410771853950733,7394.43442492933,81,28,0.345679012345679,True,0.06031566848284342
P0108,109.27135709756021,22.991644124005646,60.0,377.7628173828125,2.784957457532826,True,2.3167155835448283,7641.978273419436,81,0,0.0,True,2.784957457532826
P0109,109.27135709756021,22.991644124005646,150.0,467.7628173828125,2.784957457532826,True,2.3176425248018813,7645.011899351611,81,0,0.0,True,2.784957457532826
P0110,109.27135709756021,22.991644124005646,300.0,617.7628173828125,2.784957457532826,True,2.3043149785055848,7601.394475109188,81,1,0.012345679012345678,True,2.784957457532826
P0111,109.27135709756021,23.0052097,60.0,449.60638427734375,3.5505371984786365,True,2.335607024907786,7703.8048087891175,81,5,0.06172839506172839,True,3.5505371984786365
P0112,109.27135709756021,23.0052097,150.0,539.6063842773438,3.5505371984786365,True,2.3276104971300087,7677.6343542436625,81,5,0.06172839506172839,True,3.5505371984786365
P0113,109.27135709756021,23.0052097,300.0,689.6063842773438,3.5505371984786365,True,2.314282950833712,7634.016930001238,81,10,0.12345679012345678,True,3.5505371984786365
P0114,109.27135709756021,23.018775275994358,60.0,443.2227783203125,3.271097345929519,True,2.3303722501852606,7686.6728187881245,81,8,0.09876543209876543,True,3.271097345929519
P0115,109.27135709756021,23.018775275994358,150.0,533.2227783203125,3.271097345929519,True,2.322375722407483,7660.5023642426695,81,9,0.1111111111111111,True,3.271097345929519
