任务组数,迭代,目标值,资源缺口,总资源需求,通信风险均衡系数,工作量均衡系数
2,113,4168.297095298592,0,23,0.08854464525711146,0.0067404190156362485
2,115,4168.297095298592,0,23,0.08854464525711146,0.0067404190156362485
2,116,4168.297095298592,0,23,0.08854464525711146,0.0067404190156362485
2,117,4168.297095298592,0,23,0.08854464525711146,0.0067404190156362485
2,118,4168.297095298592,0,23,0.08854464525711146,0.0067404190156362485
2,121,4168.297095298592,0,23,0.08854464525711146,0.0067404190156362485
2,123,4168.297095298592,0,23,0.08854464525711146,0.0067404190156362485
2,125,4168.297095298592,0,23,0.08854464525711146,0.0067404190156362485
2,127,4168.297095298592,0,23,0.08854464525711146,0.0067404190156362485
2,128,4168.297095298592,0,23,0.08854464525711146,0.0067404190156362485
2,129,4168.297095298592,0,23,0.08854464525711146,0.0067404190156362485
2,131,4168.297095298592,0,23,0.08854464525711146,0.0067404190156362485
2,132,4168.297095298592,0,23,0.08854464525711146,0.0067404190156362485
2,133,4168.297095298592,0,23,0.08854464525711146,0.0067404190156362485
2,134,4168.297095298592,0,23,0.08854464525711146,0.0067404190156362485
2,136,4168.297095298592,0,23,0.08854464525711146,0.0067404190156362485
2,140,4168.297095298592,0,23,0.08854464525711146,0.0067404190156362485
2,142,4168.297095298592,0,23,0.08854464525711146,0.0067404190156362485
2,143,4168.297095298592,0,23,0.08854464525711146,0.0067404190156362485
2,144,4168.297095298592,0,23,0.08854464525711146,0.0067404190156362485
2,146,4168.297095298592,0,23,0.08854464525711146,0.0067404190156362485
2,148,4168.297095298592,0,23,0.08854464525711146,0.0067404190156362485
2,149,4168.297095298592,0,23,0.08854464525711146,0.0067404190156362485
2,150,4168.297095298592,0,23,0.08854464525711146,0.0067404190156362485
2,151,4168.297095298592,0,23,0.08854464525711146,0.0067404190156362485
2,152,4168.297095298592,0,23,0.08854464525711146,0.0067404190156362485
2,153,4168.297095298592,0,23,0.08854464525711146,0.0067404190156362485
2,154,4168.297095298592,0,23,0.08854464525711146,0.0067404190156362485
2,156,4168.297095298592,0,23,0.08854464525711146,0.0067404190156362485
2,157,4168.297095298592,0,23,0.08854464525711146,0.0067404190156362485
2,159,4168.297095298592,0,23,0.08854464525711146,0.0067404190156362485
2,160,4168.297095298592,0,23,0.08854464525711146,0.0067404190156362485
2,162,4168.297095298592,0,23,0.08854464525711146,0.0067404190156362485
2,163,4168.297095298592,0,23,0.08854464525711146,0.0067404190156362485
2,166,4168.297095298592,0,23,0.08854464525711146,0.0067404190156362485
2,167,4168.297095298592,0,23,0.08854464525711146,0.0067404190156362485
2,169,4168.297095298592,0,23,0.08854464525711146,0.0067404190156362485
2,170,4168.297095298592,0,23,0.08854464525711146,0.0067404190156362485
2,171,4168.297095298592,0,23,0.08854464525711146,0.0067404190156362485
2,172,4168.297095298592,0,23,0.08854464525711146,0.0067404190156362485
2,173,4168.297095298592,0,23,0.08854464525711146,0.0067404190156362485
2,175,4168.297095298592,0,23,0.08854464525711146,0.0067404190156362485
2,178,4168.297095298592,0,23,0.08854464525711146,0.0067404190156362485
2,179,4168.297095298592,0,23,0.08854464525711146,0.0067404190156362485
2,181,4168.297095298592,0,23,0.08854464525711146,0.0067404190156362485
2,182,4168.297095298592,0,23,0.08854464525711146,0.0067404190156362485
